conf_def,max_dudosa,aceptadas_%,precision,recall,iou,acierto_ocde,defecto_omitido,n
0.15,0.0,53.01724137931034,0.8733006131121321,0.47041383883133503,0.4403600811249965,0.8536585365853658,24,232
0.15,0.1,53.01724137931034,0.8733006131121321,0.47041383883133503,0.4403600811249965,0.8536585365853658,24,232
0.15,0.25,53.44827586206897,0.858779767009895,0.48214067067927774,0.44672245556115003,0.8467741935483871,24,232
0.15,0.5,54.741379310344826,0.8534107066480169,0.4936371319753509,0.4550525714976066,0.8503937007874016,24,232
0.15,1.0,96.55172413793103,0.5807934329877354,0.6511122873139961,0.44294513297295296,0.75,24,232
0.2,0.0,58.189655172413794,0.8793847987079493,0.43088327542945376,0.4068393338580399,0.8444444444444444,31,232
0.2,0.1,58.189655172413794,0.8793847987079493,0.43088327542945376,0.4068393338580399,0.8444444444444444,31,232
0.2,0.25,58.62068965517241,0.8652971104479825,0.4417376514809234,0.41331544984822277,0.8382352941176471,31,232
0.2,0.5,59.91379310344828,0.8598557687036944,0.45263490795683686,0.42153685412172165,0.841726618705036,31,232
0.2,1.0,97.41379310344827,0.5979610887085307,0.6103433987785621,0.43275589327670844,0.7433628318584071,31,232
0.25,0.0,65.08620689655173,0.8665528533451666,0.38246017447158465,0.3611869878321331,0.8211920529801324,39,232
0.25,0.1,65.51724137931035,0.8697272803401784,0.4020233595579266,0.37918956679210014,0.8223684210526315,39,232
0.25,0.25,65.94827586206897,0.8601097178683386,0.4095677190411247,0.3839890329742332,0.8169934640522876,39,232
0.25,0.5,66.8103448275862,0.8554041039434298,0.41395259784755534,0.38688107214248774,0.8193548387096774,39,232
0.25,1.0,97.84482758620689,0.6960968865995001,0.5271327056697668,0.42851563592952874,0.7665198237885462,39,232
0.3,0.0,72.84482758620689,0.8823687680380757,0.3255404732192622,0.31200005200020564,0.7988165680473372,51,232
0.3,0.1,72.84482758620689,0.8823687680380757,0.3255404732192622,0.31200005200020564,0.7988165680473372,51,232
0.3,0.25,73.27586206896552,0.8732051113160322,0.3317409630391873,0.31649511489417204,0.7941176470588235,51,232
0.3,0.5,74.56896551724138,0.8687724004621814,0.33728540417676384,0.3209348099111135,0.791907514450867,51,232
0.3,1.0,98.70689655172414,0.7033463165255357,0.45314273215397394,0.3804328335921118,0.7554585152838428,51,232
0.4,0.0,87.06896551724138,0.8581960573744609,0.23226040571352846,0.22367626413847586,0.7326732673267327,81,232
0.4,0.1,87.06896551724138,0.8581960573744609,0.23226040571352846,0.22367626413847586,0.7326732673267327,81,232
0.4,0.25,87.93103448275862,0.8462076633446647,0.238561985858671,0.22864847926021478,0.7254901960784313,81,232
0.4,0.5,89.22413793103448,0.8430672617024803,0.24322507799804807,0.23269000827492117,0.7246376811594203,81,232
0.4,1.0,99.56896551724138,0.804938724114709,0.3066833801004343,0.28546776827840825,0.7316017316017316,81,232
0.5,0.0,100.0,0.842722532221618,0.1940737740701974,0.1872901210774353,0.7068965517241379,106,232
0.5,0.1,100.0,0.842722532221618,0.1940737740701974,0.1872901210774353,0.7068965517241379,106,232
0.5,0.25,100.0,0.842722532221618,0.1940737740701974,0.1872901210774353,0.7068965517241379,106,232
0.5,0.5,100.0,0.842722532221618,0.1940737740701974,0.1872901210774353,0.7068965517241379,106,232
0.5,1.0,100.0,0.842722532221618,0.1940737740701974,0.1872901210774353,0.7068965517241379,106,232
