archivo,conf_def,max_dudosa,aceptada,tp,fp,fn,def_real,def_pred,ocde_real,ocde_pred
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.15,0.0,0,4321,6443,2726,7047,10764,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.15,0.1,0,4321,6443,2726,7047,10764,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.15,0.25,0,4321,6443,2726,7047,10764,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.15,0.5,0,4321,6443,2726,7047,10764,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.15,1.0,1,4321,6443,2726,7047,10764,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.2,0.0,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.2,0.1,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.2,0.25,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.2,0.5,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.2,1.0,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.25,0.0,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.25,0.1,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.25,0.25,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.25,0.5,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.25,1.0,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.3,0.0,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.3,0.1,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.3,0.25,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.3,0.5,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.3,1.0,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.4,0.0,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.4,0.1,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.4,0.25,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.4,0.5,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.4,1.0,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.5,0.0,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.5,0.1,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.5,0.25,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.5,0.5,1,0,0,7047,7047,0,0,0
T10_d01_033_a_1_jpg.rf.ykeRuHPJ3G6SbBmhnKNr.jpg,0.5,1.0,1,0,0,7047,7047,0,0,0
T10_d01_033_b_1_jpg.rf.Zcv659Y3Ha0znreZqNu1.jpg,0.15,0.0,0,10146,222,681,10827,10368,0,0
T10_d01_033_b_1_jpg.rf.Zcv659Y3Ha0znreZqNu1.jpg,0.15,0.1,0,10146,222,681,10827,10368,0,0
T10_d01_033_b_1_jpg.rf.Zcv659Y3Ha0znreZqNu1.jpg,0.15,0.25,0,10146,222,681,10827,10368,0,0
T10_d01_033_b_1_jpg.rf.Zcv659Y3Ha0znreZqNu1.jpg,0.15,0.5,0,10146,222,681,10827,10368,0,0
T10_d01_033_b_1_jpg.rf.Zcv659Y3Ha0znreZqNu1.jpg,0.15,1.0,1,10146,222,681,10827,10368,0,0
