archivo,split,n_pts,llenado_bbox,area_bbox,rectangulo
T10_d05_015_a_1_jpg.rf.H9jzY1ul6Si2lvp66j1L.jpg,test,4,0.9903890959925443,51504,True
Tam_d01_416_b_1_jpg.rf.MeE9PK8AOVtk658MfBgD.jpg,test,4,0.9793793385055125,9796,True
T20_d08_313_b_3_jpg.rf.dgOH6zDJDLFpTMJj6ZwZ.jpg,test,4,0.9865125240847784,22317,True
T10_d02_096_a_1_jpg.rf.hHkJsk0j1eCfWBtul8e1.jpg,train,4,0.9875139353400223,35880,True
T10_d02_163_b_1_jpg.rf.Dxb8jnU6dNjXsjqzwRTR.jpg,train,4,0.9842748980780431,17170,True
T10_d03_083_a_1_jpg.rf.oByUHHhcMnyTkPI5F7jn.jpg,train,4,0.9904938811188811,45760,True
T10_d03_337_b_1_jpg.rf.jRiYs89J8yFBTq5PucGG.jpg,train,4,0.990625,50880,True
T10_d04_069_b_1_jpg.rf.PywOlOf2tbn0yj0Es5IN.jpg,train,4,0.9894153225806451,37696,True
T10_d05_046_a_1_jpg.rf.da3yxvwUY28lemqFhVao.jpg,train,4,0.9887079831932774,34272,True
T10_d05_122_b_1_jpg.rf.vzj18WkKSKtvhI5mW06Q.jpg,train,4,0.987538682581786,36192,True
T10_d06_069_b_1_jpg.rf.CWMqLVwLmBvINx9HMHkC.jpg,train,4,0.9906209292227529,46060,True
T10_d06_096_b_1_jpg.rf.F3nuHkylswEEjJghcCIm.jpg,train,4,0.992414768093089,73564,True
T10_d08_338_a_1_jpg.rf.RM4kGwDo9kQrnJfyuK7H.jpg,train,4,0.9857358870967742,19840,True
T20_d03_222_b_1_jpg.rf.plw3Ki05vNPRlMgWtE9W.jpg,train,4,0.9844148936170213,18800,True
T10_d06_233_b_2_jpg.rf.N4vIuCINmX4R9md3abhJ.jpg,train,4,0.9881796690307328,28764,True
T10_d09_337_b_2_jpg.rf.YohjPB4qjuKK7N9R1Wo5.jpg,train,4,0.9915310501173994,61755,True
T10_d10_400_a_2_jpg.rf.fvMdKfHPqICXCH8elKvM.jpg,train,4,0.9870161514898357,28728,True
T10_d11_414_b_3_jpg.rf.1DQHGPsOVklNLfFaJHvb.jpg,train,4,0.9850455614344503,27216,True
T10_d14_138_b_3_jpg.rf.mMYTYlGgGd8S0wZdUf5Z.jpg,train,4,0.9831259831259831,13986,True
T10_d15_414_b_3_jpg.rf.BGy4Bup10EV5OEGQHm7O.jpg,train,4,0.9842369238117984,25122,True
T10_d19_414_b_4_jpg.rf.bc7hwarJ4qQ6MM7Yf5Qb.jpg,train,4,0.9873559162549989,34008,True
T20_d09_435_b_4_jpg.rf.Bv9GunTCk1STFuHd3VrG.jpg,train,4,0.9808094384707288,13392,True
T10_d26_206_a_5_jpg.rf.FdBULfsXZXaBy5GVX16C.jpg,train,4,0.9807253128711062,10947,True
T20_d10_259_b_5_jpg.rf.dSqKUsyrfhLs7fZJr3BW.jpg,train,4,0.99035968353168,45123,True
Tam_d10_404_b_5_jpg.rf.VKxYOWRRGfWokEe7WF7K.jpg,train,4,0.9841973716036443,24806,True
Tam_d06_474_a_3_jpg.rf.VQEBwnKV4i8zutK91Z27.jpg,val,4,0.9901380670611439,42588,True
T20_d06_006_b_4_jpg.rf.6xT6RO1t3Z7Xxqz99SEW.jpg,val,4,0.9906978737997256,46656,True
