archivo,fruto,madurez,split,fruto_nuevo,anotacion_humana
T10_d01_002_a_1.jpg,T10_002,1,train,False,False
T10_d01_002_b_1.jpg,T10_002,1,train,False,False
T10_d01_003_a_1.jpg,T10_003,1,train,False,False
T10_d01_003_b_1.jpg,T10_003,1,train,False,False
T10_d01_007_a_1.jpg,T10_007,1,train,False,False
T10_d01_007_b_1.jpg,T10_007,1,train,False,False
T10_d01_011_a_1.jpg,T10_011,1,train,False,False
T10_d01_011_b_1.jpg,T10_011,1,train,False,False
T10_d01_012_a_1.jpg,T10_012,1,val,False,False
T10_d01_012_b_1.jpg,T10_012,1,val,False,False
T10_d01_013_a_1.jpg,T10_013,1,train,False,False
T10_d01_013_b_1.jpg,T10_013,1,train,False,False
T10_d01_014_a_1.jpg,T10_014,1,val,False,False
T10_d01_014_b_1.jpg,T10_014,1,val,False,False
T10_d01_015_a_1.jpg,T10_015,1,test,False,False
T10_d01_015_b_1.jpg,T10_015,1,test,False,False
T10_d01_018_a_1.jpg,T10_018,1,val,False,False
T10_d01_018_b_1.jpg,T10_018,1,val,False,False
T10_d01_021_a_1.jpg,T10_021,1,train,False,False
T10_d01_021_b_1.jpg,T10_021,1,train,False,False
T10_d01_022_a_1.jpg,T10_022,1,train,False,False
T10_d01_022_b_1.jpg,T10_022,1,train,False,False
T10_d01_026_a_1.jpg,T10_026,1,train,False,False
T10_d01_026_b_1.jpg,T10_026,1,train,False,False
T10_d01_027_a_1.jpg,T10_027,1,train,False,False
T10_d01_027_b_1.jpg,T10_027,1,train,False,False
T10_d01_033_a_1.jpg,T10_033,1,val,False,True
T10_d01_033_b_1.jpg,T10_033,1,val,False,True
T10_d01_034_a_1.jpg,T10_034,1,train,False,False
T10_d01_034_b_1.jpg,T10_034,1,train,False,False
T10_d01_035_a_1.jpg,T10_035,1,val,False,False
T10_d01_035_b_1.jpg,T10_035,1,val,False,False
T10_d01_037_a_1.jpg,T10_037,1,train,True,False
T10_d01_037_b_1.jpg,T10_037,1,train,True,False
T10_d01_038_a_1.jpg,T10_038,1,val,False,False
T10_d01_038_b_1.jpg,T10_038,1,val,False,False
T10_d01_041_a_1.jpg,T10_041,1,val,False,False
T10_d01_041_b_1.jpg,T10_041,1,val,False,False
T10_d01_044_a_1.jpg,T10_044,1,val,True,False
T10_d01_044_b_1.jpg,T10_044,1,val,True,False
T10_d01_045_a_1.jpg,T10_045,1,train,True,False
T10_d01_045_b_1.jpg,T10_045,1,train,True,False
T10_d01_046_a_1.jpg,T10_046,1,train,False,False
T10_d01_046_b_1.jpg,T10_046,1,train,False,False
T10_d01_047_a_1.jpg,T10_047,1,train,False,False
T10_d01_047_b_1.jpg,T10_047,1,train,False,False
T10_d01_048_a_1.jpg,T10_048,1,train,False,False
T10_d01_048_b_1.jpg,T10_048,1,train,False,False
T10_d01_054_a_1.jpg,T10_054,1,train,False,False
T10_d01_054_b_1.jpg,T10_054,1,train,False,False
T10_d01_055_a_1.jpg,T10_055,1,train,False,False
T10_d01_055_b_1.jpg,T10_055,1,train,False,False
T10_d01_058_a_1.jpg,T10_058,1,val,False,False
T10_d01_058_b_1.jpg,T10_058,1,val,False,False
T10_d01_061_a_1.jpg,T10_061,1,train,False,False
T10_d01_061_b_1.jpg,T10_061,1,train,False,False
