archivo,grupo,dia,id,lado,madurez,fruto,split,anotada
T10_d01_002_a_1.jpg,T10,d01,002,a,1,T10_002,train,False
T10_d01_002_b_1.jpg,T10,d01,002,b,1,T10_002,train,False
T10_d01_003_a_1.jpg,T10,d01,003,a,1,T10_003,train,False
T10_d01_003_b_1.jpg,T10,d01,003,b,1,T10_003,train,False
T10_d01_007_a_1.jpg,T10,d01,007,a,1,T10_007,train,False
T10_d01_007_b_1.jpg,T10,d01,007,b,1,T10_007,train,False
T10_d01_011_a_1.jpg,T10,d01,011,a,1,T10_011,train,False
T10_d01_011_b_1.jpg,T10,d01,011,b,1,T10_011,train,False
T10_d01_012_a_1.jpg,T10,d01,012,a,1,T10_012,val,False
T10_d01_012_b_1.jpg,T10,d01,012,b,1,T10_012,val,False
T10_d01_013_a_1.jpg,T10,d01,013,a,1,T10_013,train,False
T10_d01_013_b_1.jpg,T10,d01,013,b,1,T10_013,train,False
T10_d01_014_a_1.jpg,T10,d01,014,a,1,T10_014,val,False
T10_d01_014_b_1.jpg,T10,d01,014,b,1,T10_014,val,False
T10_d01_015_a_1.jpg,T10,d01,015,a,1,T10_015,test,False
T10_d01_015_b_1.jpg,T10,d01,015,b,1,T10_015,test,False
T10_d01_018_a_1.jpg,T10,d01,018,a,1,T10_018,val,False
T10_d01_018_b_1.jpg,T10,d01,018,b,1,T10_018,val,False
T10_d01_021_a_1.jpg,T10,d01,021,a,1,T10_021,train,False
T10_d01_021_b_1.jpg,T10,d01,021,b,1,T10_021,train,False
T10_d01_022_a_1.jpg,T10,d01,022,a,1,T10_022,train,False
T10_d01_022_b_1.jpg,T10,d01,022,b,1,T10_022,train,False
T10_d01_026_a_1.jpg,T10,d01,026,a,1,T10_026,train,False
T10_d01_026_b_1.jpg,T10,d01,026,b,1,T10_026,train,False
T10_d01_027_a_1.jpg,T10,d01,027,a,1,T10_027,train,False
T10_d01_027_b_1.jpg,T10,d01,027,b,1,T10_027,train,False
T10_d01_033_a_1.jpg,T10,d01,033,a,1,T10_033,val,True
T10_d01_033_b_1.jpg,T10,d01,033,b,1,T10_033,val,True
T10_d01_034_a_1.jpg,T10,d01,034,a,1,T10_034,train,False
T10_d01_034_b_1.jpg,T10,d01,034,b,1,T10_034,train,False
